grid_id,grid_lat,grid_lon,yolcu_per_stop,sefer_per_stop,kapasite_per_stop,doluluk_orani,kapasite_kullanimi,stop_count,in_capacity_util_tail,in_passenger_tail,lisa_quadrant,lisa_pvalue,lisa_significant
39.8468_32.6588,39.84684684684685,32.65882352941176,8.305188938010263,0.16056503920746065,22.61476653005905,35.58583690987125,35.564774919536056,21.090128755364805,False,False,2,0.178,False
39.8468_32.6706,39.84684684684685,32.67058823529412,9.441694935285803,0.15341494329190627,21.27445436369365,43.25369634168538,43.95973198207382,46.18025751072961,False,False,1,0.339,False
39.8468_32.6824,39.84684684684685,32.68235294117647,9.470344887903806,0.1764750362258538,24.83997315683362,33.73551502145923,38.99529823489133,13.36480686695279,False,False,2,0.212,False
39.8468_32.7059,39.84684684684685,32.705882352941174,11.336042040029364,0.16429743365535246,23.911747581176694,46.77445670686014,47.121574790464145,19.7725321888412,False,False,1,0.036,True
39.8468_32.7176,39.84684684684685,32.71764705882353,9.661687575687173,0.1389970932087277,19.9288893960111,38.785275958135685,47.28228135750289,41.6137339055794,False,False,1,0.024,True
39.8468_32.7294,39.84684684684685,32.72941176470588,4.024105129725271,0.0673383912599331,7.107780489883315,41.61738197424893,54.8556443739839,10.042918454935622,False,False,1,0.002,True
39.8468_32.7412,39.84684684684685,32.74117647058824,17.04866197733036,0.31621414272312165,22.140168697915072,53.04377682403434,76.245981028657,5.021459227467811,True,False,1,0.001,True
39.8468_32.7529,39.84684684684685,32.752941176470586,17.04384858103934,0.3158438814699664,22.114108675779026,55.21927428794382,76.31428220025418,11.047210300429185,True,False,1,0.001,True
39.8468_32.7882,39.84684684684685,32.78823529411765,2.0127327016861307,0.06124551940852783,8.57984805098522,22.377682403433475,22.35663192315553,1.0042918454935623,False,False,2,0.043,True
39.8468_32.8,39.84684684684685,32.8,29.295708197935877,0.40057202715854795,57.71881670692154,45.99037941650379,50.94218152187401,41.39055793991416,False,False,1,0.104,False
39.8468_32.8118,39.84684684684685,32.811764705882354,8.50383685299546,0.16795627838704413,17.088723239118863,40.86405942958744,49.18703830449641,44.7038626609442,False,False,1,0.008,True
39.8468_32.8235,39.84684684684685,32.8235294117647,37.40874942115901,0.5948757877578534,68.44268071066905,46.19732938496887,54.86625846435367,59.0,False,True,1,0.009,True
39.8468_32.8353,39.84684684684685,32.83529411764706,23.307222778051983,0.32648498292904493,44.82293765749522,43.86406144220197,52.030882144742485,49.48927038626609,False,False,1,0.002,True
39.8468_32.8471,39.84684684684685,32.84705882352941,20.02480416631004,0.3543676355234564,34.37190526957434,52.21642553544401,57.68183533915046,28.755364806866954,False,False,1,0.005,True
39.8468_32.8588,39.84684684684685,32.858823529411765,4.544037133984741,0.07969136077174939,8.190988082960368,50.15816712951275,54.75672776931591,16.78540772532189,False,False,1,0.014,True
39.8468_32.9412,39.84684684684685,32.94117647058823,4.558192119875985,0.04939101017084758,6.9397532732388,65.07081545064378,65.06469462445727,20.085836909871244,True,False,1,0.008,True
39.8468_32.9529,39.84684684684685,32.95294117647059,5.644063798963477,0.051961845261708474,11.20865549734441,42.62782546494993,50.236059681666255,26.124463519313306,False,False,1,0.002,True
39.8468_32.9647,39.84684684684685,32.96470588235294,5.607708562533229,0.05122169733147073,11.320780766385354,40.9142089431789,49.4364469728248,34.738197424892704,False,False,1,0.002,True
39.8559_32.4235,39.85585585585586,32.423529411764704,0.13471994535519122,0.0071482240437158225,1.0657650273224042,12.845,12.839589045998887,1.005,False,False,3,0.002,True
39.8559_32.4706,39.85585585585586,32.47058823529412,0.2974205541353233,0.006225845853997151,0.8739612465708622,34.35622317596567,34.33118254582122,1.0042918454935623,False,False,3,0.006,True
39.8559_32.4941,39.85585585585586,32.49411764705882,0.2974205541353233,0.006225845853997151,0.8739612465708622,34.35622317596567,34.33118254582122,1.0042918454935623,False,False,3,0.489,False
39.8559_32.5294,39.85585585585586,32.529411764705884,3.182722394772303,0.028358757441509404,4.728226776626494,66.99356223175965,66.75200620641782,4.017167381974249,True,False,1,0.001,True
39.8559_32.5412,39.85585585585586,32.54117647058823,3.182722394772303,0.028358757441509404,4.728226776626494,66.99356223175965,66.75200620641782,2.0085836909871246,True,False,1,0.001,True
39.8559_32.5765,39.85585585585586,32.576470588235296,0.7549485680683183,0.0574230558491597,8.104236677161188,15.711587982832619,9.332980449268788,5.021459227467811,True,False,2,0.181,False
39.8559_32.5882,39.85585585585586,32.588235294117645,0.9324681622300044,0.008911723145246896,1.5923053968421146,49.5793991416309,49.574632662977685,1.0042918454935623,False,False,4,0.478,False
39.8559_32.6118,39.85585585585586,32.61176470588235,19.960577512349385,0.33251589267439463,46.33400804525602,34.68333008193523,42.83038215660155,20.96137339055794,False,False,1,0.118,False
39.8559_32.6353,39.85585585585586,32.63529411764706,35.28033417210357,0.43911775945364184,66.42165842327151,35.50917126507255,53.131209253470665,21.463519313304722,False,True,1,0.082,False
39.8559_32.6471,39.85585585585586,32.64705882352941,27.30605587488839,0.3338711899019997,50.59138783032112,45.43690422407951,53.22196873678479,19.793991416309012,False,False,1,0.168,False
39.8559_32.6588,39.85585585585586,32.65882352941176,8.305188938010263,0.16056503920746065,22.614766530059054,35.58583690987125,35.56477491953605,13.055793991416309,False,False,2,0.209,False
39.8559_32.6706,39.85585585585586,32.67058823529412,18.113081652957742,0.28676051640815076,40.39755428047741,43.768622662917466,44.425506507632925,27.622317596566525,False,False,1,0.348,False
39.8559_32.6824,39.85585585585586,32.68235294117647,18.458199624813002,0.28162304477636985,40.25613563470294,42.88703046164022,45.53007027938624,32.566523605150216,False,False,4,0.412,False
39.8559_32.6941,39.85585585585586,32.694117647058825,16.51737073157381,0.250809729465492,36.0919146835311,40.90735997698222,45.71490545437948,26.034334763948497,False,False,4,0.444,False
39.8559_32.7059,39.85585585585586,32.705882352941174,20.68060985587569,0.3277959017111123,47.786598039957596,47.85121831449308,42.83403387392847,21.34763948497854,False,False,1,0.37,False
39.8559_32.7176,39.85585585585586,32.71764705882353,19.6885326396323,0.36357011510410425,41.033832799886596,43.54797670141017,67.2005227584268,2.6738197424892705,True,False,1,0.081,False
39.8559_32.7294,39.85585585585586,32.72941176470588,72.42205251930442,0.7364843174359684,102.61348697387936,38.236358062538315,47.43983209285207,3.5450643776824036,False,True,1,0.001,True
39.8559_32.7412,39.85585585585586,32.74117647058824,9.019993319323952,0.1583718700871071,14.049519780859962,37.93792152053955,62.774613902918375,14.060085836909872,False,False,1,0.001,True
39.8559_32.7529,39.85585585585586,32.752941176470586,17.06189881713066,0.3172323611692983,22.211833758789208,47.06115879828326,76.05899339443657,6.0257510729613735,True,False,1,0.001,True
39.8559_32.7647,39.85585585585586,32.76470588235294,16.99571461812917,0.3121412689384146,21.853508454418535,76.97424892703863,77.0064136486094,1.0042918454935623,True,False,1,0.001,True
39.8559_32.8,39.85585585585586,32.8,29.553253727503456,0.39972464674425645,57.54090674593705,47.38933446882938,51.5597027778539,77.34763948497854,False,False,1,0.093,False
