grid_id,grid_lat,grid_lon,stop_count,yolcu_per_stop,sefer_per_stop,kapasite_per_stop,doluluk_orani,kapasite_kullanimi,reconstruction_error,anomaly_autoencoder,anomaly_score_if,anomaly_isolation_forest,lof_score,anomaly_lof,graph_anomaly_score,anomaly_graph,anomaly_count,anomaly_consensus
39.9459_32.6,39.94594594594594,32.6,173.33132530120483,728.0447502879865,0.21922073207217155,1332.4485055493917,49.417814750715564,56.813054405960415,0.8534208617058322,True,-0.7010797454061629,True,-2.9691218600547,True,10.745474908099041,False,3,True
39.9459_32.6118,39.94594594594594,32.61176470588235,54.68711656441718,70.05991586074026,0.06353450751409172,131.14103060206685,42.962965268371704,49.710923219421346,0.013750500468831603,False,-0.43341619081375166,False,-1.1934160374590186,False,3.405992501413547,False,0,False
39.9459_32.6235,39.94594594594594,32.62352941176471,71.06832298136646,37.584900259159966,0.10716490338701389,68.37605307822308,54.16901668213512,59.14031911815683,0.05013677283388065,False,-0.4083190176186454,False,-1.0000799388705146,False,3.1612157142791473,False,0,False
39.9459_32.6353,39.94594594594594,32.63529411764706,88.78260869565217,28.525505398724032,0.1703790938219716,50.57255628912423,55.74965246968353,61.09717145674486,0.10721081332956058,False,-0.4223591495552385,False,-1.051877202281942,False,2.5625785220969495,False,0,False
39.9459_32.6471,39.94594594594594,32.64705882352941,155.52147239263803,220.49114366924326,0.241890571729408,403.4889766586565,55.751969644385944,58.45979689041153,0.05699333163509573,False,-0.566911625934287,True,-1.0052350469899394,False,1.1656347055778506,False,1,False
39.9459_32.6588,39.94594594594594,32.65882352941176,170.67080745341616,216.57368937090123,0.3953366184845425,396.6852167997763,57.06956706692821,56.46056892762323,0.09265701922497543,False,-0.5824061507702183,True,-1.0069287628830221,False,2.0284106608892265,False,1,False
39.9459_32.6941,39.94594594594594,32.694117647058825,224.2439024390244,400.1607560129508,0.33326451288910824,736.0967022429559,48.965578242118745,57.97073916313597,0.03606538213357673,False,-0.6617257791178537,True,-1.3338783555261144,False,5.7992137829046,False,1,False
39.9459_32.7059,39.94594594594594,32.705882352941174,19.72327044025157,30.051079508908995,0.6099106839747451,44.09000936277418,51.71573824498352,69.55609258281346,0.13506758731892232,False,-0.4620011111136552,False,-1.0673046867023324,False,3.615090298662178,False,0,False
39.9459_32.7176,39.94594594594594,32.71764705882353,60.98159509202454,307.9126325657137,0.4587678686480589,569.3867227591654,51.856252361652736,61.83362664668724,0.4675572174932907,True,-0.602071657821779,True,-0.9973108476451038,False,3.375075022506233,False,2,True
39.9459_32.7294,39.94594594594594,32.72941176470588,19.69811320754717,34.44954869943375,0.8840473162716657,73.33499584808598,42.68338256781653,48.58593516316868,0.15962097959858143,False,-0.47243715055056246,False,-1.0498919692206865,False,2.6501438397833414,False,0,False
39.9459_32.7412,39.94594594594594,32.74117647058824,2.0,35.78264450434262,1.0540206648697212,78.5142632524708,35.98087002096436,47.92208966007389,0.3409495629989913,True,-0.5173249059552155,False,-1.1207953927057228,False,3.180318312631065,False,1,False
39.9459_32.7529,39.94594594594594,32.752941176470586,95.8641975308642,179.97128071654802,0.2788915088063856,345.0486870549673,51.6349646314287,59.05520628478675,0.006474245759353826,False,-0.5297962942973147,False,-1.0340735362351254,False,2.05241636741134,False,0,False
39.9459_32.7647,39.94594594594594,32.76470588235294,2.0,3.4021790220613832,0.12795138295404057,8.973014734443582,28.18291139240506,38.738395147765665,0.039259787549932895,False,-0.3960344006586352,False,-1.7639887931636384,True,3.0110203889658704,False,1,False
39.9459_32.7765,39.94594594594594,32.77647058823529,186.0248447204969,117.26912210533322,0.2679405279208418,227.1426566243977,52.125397469145305,59.46761488365112,0.4528369139765274,True,-0.5361350537629033,False,-1.092012657303365,False,2.859111655509527,False,1,False
39.9459_32.7882,39.94594594594594,32.78823529411765,218.53416149068323,108.94199821020769,0.28122417889367574,212.74263913684302,49.94301969372019,57.24535197669876,0.8073639407267921,True,-0.5327559024407219,False,-1.2082408701367986,False,2.9301754498223067,False,1,False
39.9459_32.8,39.94594594594594,32.8,203.80124223602485,112.16483728864519,0.343285913362293,220.45473927034436,48.991289806824405,55.229935246465296,0.5979107543857632,True,-0.5296195598552731,False,-1.167544170303356,False,2.4665363139195047,False,1,False
39.9459_32.8235,39.94594594594594,32.8235294117647,139.38650306748465,156.81455299654058,0.26176222460533954,293.18494765857963,47.28322335228885,53.36116277695347,0.08986179546513873,False,-0.5374170908725395,False,-1.029202611938555,False,1.2730368539662849,False,0,False
39.9459_32.8353,39.94594594594594,32.83529411764706,145.75460122699386,220.16703391000945,0.6448275253319125,426.2440354056756,43.849357792566224,46.087856067450794,0.0069406978726821835,False,-0.6002903527784591,True,-1.0885958869977028,False,1.0107233041677086,False,1,False
39.9459_32.8471,39.94594594594594,32.84705882352941,220.30817610062894,100.56815210938986,0.9382138169478227,183.93382715715092,46.56299822015443,56.04926861065552,0.4493245455224315,True,-0.579638717185604,True,-1.5583858511325592,False,1.9964614161296195,False,2,True
39.9459_32.8588,39.94594594594594,32.858823529411765,68.125,104.63404130262316,0.6177982634942192,203.90598738142836,44.08626924524751,51.48374067883731,0.028572503599583503,False,-0.49064023068750146,False,-1.1032863194062366,False,1.484737408623092,False,0,False
39.9459_32.8706,39.94594594594594,32.870588235294115,16.89375,20.297687880286354,0.15410560559043152,39.71718892782961,40.46119791666666,50.47097738131124,0.025758457355444454,False,-0.3743282775717042,False,-1.0611940187197353,False,2.430608711941299,False,0,False
39.9459_32.8824,39.94594594594594,32.88235294117647,73.5125,121.2358130183975,0.502493733781687,224.65948018769149,45.32558464674312,55.661657050119075,0.02474100136133774,False,-0.48981849008225525,False,-1.1173177302792798,False,1.2868096904730493,False,0,False
39.9459_32.8941,39.94594594594594,32.89411764705882,115.69375,121.95339926300667,0.4965373042437924,224.6278968675268,46.49699070669935,56.38228574559885,0.025674162684122478,False,-0.5002649594782863,False,-1.2597973298958973,False,1.7818506781188974,False,0,False
39.9459_32.9059,39.94594594594594,32.90588235294118,33.0875,54.48162512284462,0.1316329184235294,104.97181159605925,44.45802872474748,47.598905120842495,0.002385740586599617,False,-0.3986799051834775,False,-1.147055839378814,False,0.7197794425929015,False,0,False
39.9459_32.9176,39.94594594594594,32.917647058823526,14.85,27.32562567092282,0.09291307407286567,52.7806729467624,46.54234722222222,51.05237049998529,0.00855758925301799,False,-0.3862627517051409,False,-1.1513292870576008,False,0.7472023261550448,False,0,False
39.9459_33.0353,39.94594594594594,33.035294117647055,21.50314465408805,3.3972680147672603,0.061524082115291825,8.641480290178514,38.53904262753319,40.39012724624185,0.0035455448637302955,False,-0.3704606375933931,False,-1.1412595437962876,False,0.18677730848546945,False,0,False
39.9459_33.0471,39.94594594594594,33.04705882352941,6.251572327044025,3.3468422072587463,0.06249715224715246,8.766360651062376,35.65006988120196,39.121059500599394,0.003425988734827657,False,-0.36786364395395926,False,-0.9959704781426391,False,0.27538272189705526,False,0,False
39.9459_33.0588,39.94594594594594,33.05882352941176,6.251572327044025,3.3468422072587463,0.06249715224715246,8.766360651062376,35.65006988120196,39.121059500599394,0.003425988734827657,False,-0.36786364395395926,False,-0.9959704781426391,False,0.1864582690644473,False,0,False
39.9459_33.0706,39.94594594594594,33.07058823529412,6.251572327044025,3.3468422072587463,0.06249715224715246,8.766360651062376,35.65006988120196,39.121059500599394,0.003425988734827657,False,-0.36786364395395926,False,-0.9959704781426391,False,0.026590195653352244,False,0,False
39.9459_33.0941,39.94594594594594,33.09411764705882,3.1257861635220126,3.3468422072587463,0.06249715224715246,8.766360651062376,35.65006988120196,39.121059500599394,0.005149121805632477,False,-0.3667031433181713,False,-1.1007596820286591,False,0.0,False,0,False
